,Name,Age,B,T,Ht,Wt,DoB,Birthplace,minor_urls,major_urls,salary,draft_round,years_in_minors,minor_positions
774,Gary Cates,18,R,R,"5' 7""",155,"Jul 3, 1981","Tampa, FL, US",https://www.baseball-reference.com/register/player.fcgi?id=cates-001gar,,0.0,39,10,"SecondBaseman,Shortstop,Outfielder"
775,Charlie Dees,22,R,R,"6' 2""",220,"Jul 19, 1977","Montgomery, AL, US",https://www.baseball-reference.com/register/player.fcgi?id=dees--002cha,,0.0,38,3,"Outfielder,FirstBaseman"
776,Rick Elder,20,L,L,"6' 6""",250,"Feb 24, 1980","Atlanta, GA, US",https://www.baseball-reference.com/register/player.fcgi?id=elder-001ric,,0.0,1,5,"FirstBaseman,Outfielder"
777,Travis Fleming,23,R,R,"6' 4""",197,"Sep 26, 1976","Arcata, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=flemin001tra,,0.0,np.nan,4,ReliefPitcher
778,Sonny Garcia,23,R,R,"6' 3""",215,"Sep 10, 1976","Houston, TX, US",https://www.baseball-reference.com/register/player.fcgi?id=garcia001son,,0.0,47,6,StartingPitcher
779,Alex Gordon,20,L,L,"6' 4""",211,"Mar 3, 1980","Seattle, WA, US",https://www.baseball-reference.com/register/player.fcgi?id=gordon002ale,,0.0,np.nan,6,Rightfielder
780,Doug Gredvig,20,R,R,"6' 3""",245,"Aug 25, 1979","Rossville, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=gredvi001dou,,0.0,5,6,FirstBaseman
781,Derrick Gutierrez,21,R,R,"5' 11""",188,"Oct 6, 1978","Vega Baja, PR",https://www.baseball-reference.com/register/player.fcgi?id=gutier001der,,0.0,12,4,"Shortstop,SecondBaseman,ThirdBaseman"
782,Willie Harris,22,L,R,"5' 9""",195,"Jun 22, 1978","Cairo, GA, US",https://www.baseball-reference.com/register/player.fcgi?id=harris006wil,https://www.baseball-reference.com/players/h/harriwi02.shtml,7647949.96901693,24,10,"Outfielder,SecondBaseman"
783,Antoine Ide,21,R,R,"6' 0""",170,"Mar 2, 1979","Portland, OR, US",https://www.baseball-reference.com/register/player.fcgi?id=ide---001ant,,0.0,21,3,Outfielder
784,Jon Kessick,22,R,R,"6' 5""",210,"Jan 9, 1978","Muncie, IN, US",https://www.baseball-reference.com/register/player.fcgi?id=kessic001jon,,0.0,3,4,Catcher
785,Randy Perez,20,L,L,"6' 1""",170,"Apr 13, 1980","San Diego, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=perez-001ran,,0.0,8,5,Pitcher
786,Terry Plank,22,L,R,"6' 5""",210,"Apr 19, 1978","Hampton, VA, US",https://www.baseball-reference.com/register/player.fcgi?id=plank-001ter,,0.0,43,4,ReliefPitcher
787,Jason Pruitt,19,L,L,"6' 3""",197,"Aug 6, 1980","Casper, WY, US",https://www.baseball-reference.com/register/player.fcgi?id=pruitt002jas,,0.0,16,4,ReliefPitcher
788,Wes Rachels,24,R,R,"5' 9""",180,"Jan 19, 1976","Los Angeles, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=rachel001wes,,0.0,33,4,"FirstBaseman,SecondBaseman,Outfielder"
789,Matt Riordan,22,R,R,"6' 2""",195,"Jun 24, 1978","Van Nuys, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=riorda001mat,,0.0,14,3,Outfielder
790,Sendy Rleal,20,R,R,"6' 1""",190,"Jun 21, 1980","San Pedro de Macoris, San Pedro de Macoris, DO",https://www.baseball-reference.com/register/player.fcgi?id=rleal-001sen,https://www.baseball-reference.com/players/r/rlealse01.shtml,937528.2088317716,np.nan,8,ReliefPitcher
791,Eddy Rodriguez,18,R,R,"6' 1""",194,"Aug 8, 1981","San Pedro de Macoris, San Pedro de Macoris, DO",https://www.baseball-reference.com/register/player.fcgi?id=rodrig002edd,https://www.baseball-reference.com/players/r/rodried03.shtml,0.0,np.nan,8,ReliefPitcher
792,Casey Saucke,22,R,R,"6' 0""",200,"Mar 21, 1978","Rochester, NY, US",https://www.baseball-reference.com/register/player.fcgi?id=saucke001cas,,0.0,np.nan,2,"SecondBaseman,Leftfielder,Shortstop"
793,Matt Schwager,22,R,R,"6' 6""",220,"Oct 10, 1977","Plainview, NE, US",https://www.baseball-reference.com/register/player.fcgi?id=schwag001mat,,0.0,34,5,ReliefPitcher
794,Mike Seestedt,22,R,R,"6' 0""",200,"Nov 10, 1977","Mount Pleasant, MI, US",https://www.baseball-reference.com/register/player.fcgi?id=seeste001mic,,0.0,26,5,"Catcher,FirstBaseman"
795,Jayme Sperring,21,R,R,"6' 4""",209,"Nov 16, 1978","Midland, TX, US",https://www.baseball-reference.com/register/player.fcgi?id=sperri001jay,,0.0,8,4,ReliefPitcher
796,Rich Stahl,19,R,L,"6' 7""",220,"Apr 11, 1981","Covington, GA, US",https://www.baseball-reference.com/register/player.fcgi?id=stahl-001mar,,0.0,1,7,Pitcher
797,Simieon Theodile,23,R,R,"6' 2""",195,"Apr 15, 1977","New Iberia, LA, US",https://www.baseball-reference.com/register/player.fcgi?id=theodi001sim,,0.0,12,4,ReliefPitcher
798,Mamon Tucker,20,R,R,"6' 3""",180,"Oct 18, 1979","Bossier City, LA, US",https://www.baseball-reference.com/register/player.fcgi?id=tucker001mam,,0.0,1,7,Leftfielder
799,Jose Advincola,20,L,L,"6' 0""",160,"May 20, 1980","San Cristobal, San Cristobal, DO",https://www.baseball-reference.com/register/player.fcgi?id=advinc001jos,,0.0,np.nan,3,ReliefPitcher
800,Martin Berube,18,L,R,"6' 1""",198,"Sep 12, 1981","Montreal, QC, CA",https://www.baseball-reference.com/register/player.fcgi?id=berube001mar,,0.0,np.nan,5,Pitcher
801,Aaron Bouie,21,R,R,"6' 5""",225,"Jul 9, 1978","New York, NY, US",https://www.baseball-reference.com/register/player.fcgi?id=bouie-001aar,,0.0,22,1,"StartingPitcher,FirstBaseman"
802,Edwin Centeno,22,S,R,"6' 0""",171,"Mar 15, 1978","Baruta, Miranda, VE",https://www.baseball-reference.com/register/player.fcgi?id=centen001edw,,0.0,np.nan,2,Outfielder
803,Manny Del Rosario,18,S,R,"5' 11""",155,"Jul 8, 1981","Hato Mayor del Rey, Hato Mayor, DO",https://www.baseball-reference.com/register/player.fcgi?id=delros001emm,,0.0,np.nan,5,"SecondBaseman,ThirdBaseman,Shortstop"
804,Dave Farren,19,R,R,"6' 1""",183,"Mar 20, 1981","New Boston, TX, US",https://www.baseball-reference.com/register/player.fcgi?id=farren001dav,,0.0,7,5,"Pitcher,Rightfielder"
805,Tom Ford,23,L,L,"6' 0""",200,"Nov 8, 1976","Santa Rosa, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=ford--005tho,,0.0,np.nan,3,ReliefPitcher
806,Nick Garcia,20,R,R,"6' 3""",215,"May 2, 1980","Ciudad Obregon, Sonora, MX",https://www.baseball-reference.com/register/player.fcgi?id=garcia002nic,,0.0,19,4,"Shortstop,ThirdBaseman,Rightfielder"
807,Ben Knapp,20,R,R,"6' 7""",219,"Nov 8, 1979","Sarasota, FL, US",https://www.baseball-reference.com/register/player.fcgi?id=knapp-001ben,,0.0,2,4,StartingPitcher
808,B.J. Littleton,20,S,L,"5' 10""",173,"Oct 3, 1979","Oregon City, OR, US",https://www.baseball-reference.com/register/player.fcgi?id=little001bra,,0.0,7,6,Centerfielder
809,Tony Mack,21,R,R,"5' 11""",200,"Mar 19, 1979","Orlando, FL, US",https://www.baseball-reference.com/register/player.fcgi?id=mack--003ant,,0.0,21,6,Outfielder
810,Dan Marchetti,21,R,R,"6' 1""",180,"Jul 20, 1978","Washington, DC, US",https://www.baseball-reference.com/register/player.fcgi?id=marche001dan,,0.0,26,3,"ReliefPitcher,Leftfielder"
811,Kyle Martin,20,R,R,"5' 11""",217,"Jun 12, 1980","Yakima, WA, US",https://www.baseball-reference.com/register/player.fcgi?id=martin001kyl,,0.0,18,5,"Catcher,Leftfielder"
812,Tim Nelson,22,R,R,"6' 3""",207,"May 10, 1978","Calgary, AB, CA",https://www.baseball-reference.com/register/player.fcgi?id=nelson001tim,,0.0,7,2,"ThirdBaseman,FirstBaseman"
813,Felipe Perez,20,R,R,"6' 3""",190,"Sep 2, 1979","Higuey, La Altagracia, DO",https://www.baseball-reference.com/register/player.fcgi?id=perez-001fel,,0.0,np.nan,2,"FirstBaseman,Outfielder"
814,Chase Phillips,19,R,R,"6' 2""",180,"Oct 24, 1980","Zanesville, OH, US",https://www.baseball-reference.com/register/player.fcgi?id=philli002jam,,0.0,33,4,ReliefPitcher
815,Enrique Ramirez,23,R,R,"6' 2""",223,"Aug 15, 1976","El Seibo, El Seibo, DO",https://www.baseball-reference.com/register/player.fcgi?id=ramire001enr,,0.0,np.nan,5,ReliefPitcher
816,Shayne Ridley,22,S,R,"6' 2""",190,"Nov 21, 1977","Milton, ON, CA",https://www.baseball-reference.com/register/player.fcgi?id=ridley001sha,,0.0,19,2,"ThirdBaseman,FirstBaseman,SecondBaseman"
817,Brad Rogers,18,R,R,"6' 4""",190,"Dec 6, 1981","Nanaimo, BC, CA",https://www.baseball-reference.com/register/player.fcgi?id=rogers001bra,,0.0,12,4,ReliefPitcher
818,Pete Shier,19,R,R,"6' 2""",165,"Mar 16, 1981","Columbus, OH, US",https://www.baseball-reference.com/register/player.fcgi?id=shier-001pet,,0.0,9,8,"Shortstop,SecondBaseman,Outfielder"
819,Wil Sowers,22,L,R,"6' 1""",205,"Sep 16, 1977","Knoxville, MD, US",https://www.baseball-reference.com/register/player.fcgi?id=sowers001dou,,0.0,44,2,"FirstBaseman,ThirdBaseman,SecondBaseman"
820,Matt Tate,19,R,R,"6' 2""",185,"Sep 21, 1980","Dothan, AL, US",https://www.baseball-reference.com/register/player.fcgi?id=tate--001mat,,0.0,8,5,Pitcher
821,David Tavarez,18,R,R,"6' 3""",190,"Jan 13, 1982","Santiago, Santiago, DO",https://www.baseball-reference.com/register/player.fcgi?id=tavare001dav,,0.0,np.nan,3,Pitcher
822,Eliot Tomaszewski,20,R,R,"6' 4""",220,"Jan 13, 1980","Albuquerque, NM, US",https://www.baseball-reference.com/register/player.fcgi?id=tomasz001eli,,0.0,11,5,ReliefPitcher
823,Kris Wilken,21,S,R,"5' 11""",188,"Apr 11, 1979","Albuquerque, NM, US",https://www.baseball-reference.com/register/player.fcgi?id=wilken001kri,,0.0,12,6,"FirstBaseman,ThirdBaseman,Outfielder"
824,Omar Anez,19,R,R,"6' 5""",240,"Feb 1, 1981","La Sabana, La Guaira, VE",https://www.baseball-reference.com/register/player.fcgi?id=anez--001oma,,0.0,np.nan,6,Pitcher
825,Tommy Arko,17,R,R,"6' 2""",207,"Jul 28, 1982","San Antonio, TX, US",https://www.baseball-reference.com/register/player.fcgi?id=arko--001tho,,0.0,3,6,Catcher
826,Richard Bartlett,18,R,R,"6' 3""",221,"Oct 6, 1981","Killeen, TX, US",https://www.baseball-reference.com/register/player.fcgi?id=bartle003ric,,0.0,3,6,Pitcher
827,Roberto Beras,20,R,R,"6' 1""",160,"Nov 17, 1979","San Pedro de Macoris, San Pedro de Macoris, DO",https://www.baseball-reference.com/register/player.fcgi?id=beras-001rob,,0.0,np.nan,2,Rightfielder
828,David Blair,22,L,L,"6' 0""",175,"Jun 8, 1978","Elkhart, IN, US",https://www.baseball-reference.com/register/player.fcgi?id=blair-001dav,,0.0,np.nan,1,ReliefPitcher
829,Joel Crump,18,R,L,"6' 2""",190,"Aug 20, 1981","Yuma, AZ, US",https://www.baseball-reference.com/register/player.fcgi?id=crump-001joe,,0.0,17,3,"ReliefPitcher,Leftfielder"
830,Ruben Francisco,22,L,L,"6' 0""",160,"Jul 13, 1977","San Pedro de Macoris, San Pedro de Macoris, DO",https://www.baseball-reference.com/register/player.fcgi?id=franci002rub,,0.0,np.nan,3,Outfielder
831,Mark Gibbs,22,R,R,"6' 0""",185,"Aug 16, 1977","Annapolis, MD, US",https://www.baseball-reference.com/register/player.fcgi?id=gibbs-001mar,,0.0,np.nan,3,"SecondBaseman,FirstBaseman,Shortstop"
832,Fernando Gutierrez,19,R,R,"6' 2""",210,"Sep 25, 1980","Portuguesa, VE",https://www.baseball-reference.com/register/player.fcgi?id=gutier001fer,,0.0,np.nan,4,"ReliefPitcher,Catcher"
833,Drew Hassler,19,L,R,"6' 3""",225,"Jan 27, 1981",,https://www.baseball-reference.com/register/player.fcgi?id=hassle001dre,,0.0,13,1,ReliefPitcher
834,Tripper Johnson,18,R,R,"6' 1""",199,"Apr 28, 1982","Bellevue, WA, US",https://www.baseball-reference.com/register/player.fcgi?id=johnso001nel,,0.0,1,8,ThirdBaseman
835,Tom Joyce,18,L,L,"5' 11""",168,"Mar 1, 1982","Columbia, SC, US",https://www.baseball-reference.com/register/player.fcgi?id=joyce-004tho,,0.0,15,4,"Outfielder,FirstBaseman"
836,Ryan Keefer,18,L,R,"6' 3""",225,"Aug 10, 1981","Bloomsburg, PA, US",https://www.baseball-reference.com/register/player.fcgi?id=keefer001rya,,0.0,13,9,ReliefPitcher
837,William Martinez,19,R,R,"6' 2""",170,"Jan 16, 1981","Caracas, Distrito Federal, VE",https://www.baseball-reference.com/register/player.fcgi?id=martin015wil,,0.0,np.nan,1,Leftfielder
838,Elvis Montilla,21,R,R,"6' 3""",200,"Jul 16, 1978","Ramon Santana, San Pedro de Macoris, DO",https://www.baseball-reference.com/register/player.fcgi?id=montil001elv,,0.0,np.nan,3,Pitcher
839,Kelvin Pickering,20,R,R,"6' 1""",215,"Sep 7, 1979","St. Thomas, VI",https://www.baseball-reference.com/register/player.fcgi?id=picker001kel,,0.0,35,3,"Catcher,FirstBaseman,Centerfielder"
840,Scott Rice,18,L,L,"6' 6""",230,"Sep 21, 1981","Simi Valley, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=rice--001sco,https://www.baseball-reference.com/players/r/ricesc01.shtml,1245159.664042733,1,16,ReliefPitcher
841,Raul Rodriguez,20,S,R,"5' 10""",180,"Nov 23, 1979","Caguas, PR",https://www.baseball-reference.com/register/player.fcgi?id=rodrig027jos,,0.0,24,3,"SecondBaseman,Shortstop"
842,Omar Rogers,20,R,R,"6' 1""",186,"Oct 12, 1979","San Pedro de Macoris, San Pedro de Macoris, DO",https://www.baseball-reference.com/register/player.fcgi?id=rogers001oma,,0.0,np.nan,6,"SecondBaseman,FirstBaseman,ThirdBaseman"
843,Mike Russell,18,R,R,"6' 0""",197,"Aug 14, 1981","Bothell, WA, US",https://www.baseball-reference.com/register/player.fcgi?id=russel002mic,,0.0,9,7,"Catcher,FirstBaseman,ThirdBaseman"
844,George Schalick,22,L,R,"6' 2""",225,"Dec 11, 1977","Pittsgrove, NJ, US",https://www.baseball-reference.com/register/player.fcgi?id=schali001geo,,0.0,np.nan,1,"FirstBaseman,ThirdBaseman"
845,Sonel Sena,18,R,R,"6' 0""",195,"Jul 28, 1981","La Romana, La Romana, DO",https://www.baseball-reference.com/register/player.fcgi?id=sena--001son,,0.0,np.nan,2,"Catcher,Leftfielder,FirstBaseman"
846,Jairo Soriano,19,S,R,"6' 1""",160,"Dec 13, 1980","Villa Mella, Santo Domingo, DO",https://www.baseball-reference.com/register/player.fcgi?id=sorian001jai,,0.0,np.nan,3,"ThirdBaseman,Shortstop,SecondBaseman"
847,Brandon Spillers,18,R,R,"6' 3""",216,"Mar 12, 1982","Thomaston, GA, US",https://www.baseball-reference.com/register/player.fcgi?id=spille001lar,,0.0,6,6,ReliefPitcher
848,Willie Adams,27,R,R,"6' 7""",215,"Oct 8, 1972","Gallup, NM, US",https://www.baseball-reference.com/register/player.fcgi?id=adams-004wil,https://www.baseball-reference.com/players/a/adamswi02.shtml,-749558.4434099349,1,8,StartingPitcher
849,Israel Alcantara,27,R,R,"6' 2""",180,"May 6, 1973","Bani, Peravia, DO",https://www.baseball-reference.com/register/player.fcgi?id=alcant001isr,https://www.baseball-reference.com/players/a/alcanis01.shtml,315169.08212560386,np.nan,11,"ThirdBaseman,Rightfielder,FirstBaseman"
850,Brian Barkley,24,L,L,"6' 2""",180,"Dec 8, 1975","Conroe, TX, US",https://www.baseball-reference.com/register/player.fcgi?id=barkle001bri,https://www.baseball-reference.com/players/b/barklbr01.shtml,0.0,5,7,StartingPitcher
851,Rod Beck,31,R,R,"6' 1""",215,"Aug 3, 1968","Burbank, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=beck--001rod,https://www.baseball-reference.com/players/b/beckro01.shtml,-31516001.98938605,13,9,ReliefPitcher
852,Joel Bennett,30,R,R,"6' 1""",160,"Jan 31, 1970","Binghamton, NY, US",https://www.baseball-reference.com/register/player.fcgi?id=bennet001joe,https://www.baseball-reference.com/players/b/bennejo02.shtml,0.0,21,10,StartingPitcher
853,Sean Berry,34,R,R,"5' 11""",200,"Mar 22, 1966","Santa Monica, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=berry-001sea,https://www.baseball-reference.com/players/b/berryse01.shtml,-10001840.38131984,1,10,"ThirdBaseman,FirstBaseman"
854,Morgan Burkhart,28,S,L,"5' 11""",225,"Jan 29, 1972","St. Louis, MO, US",https://www.baseball-reference.com/register/player.fcgi?id=burkha001mor,https://www.baseball-reference.com/players/b/burkhmo01.shtml,0.0,np.nan,5,"FirstBaseman,Leftfielder"
855,Carlos Castillo,25,R,R,"6' 2""",240,"Apr 21, 1975","Boston, MA, US",https://www.baseball-reference.com/register/player.fcgi?id=castil002car,https://www.baseball-reference.com/players/c/castica02.shtml,-985505.3890344192,3,9,Pitcher
856,Jim Chamblee,25,R,R,"6' 4""",170,"May 6, 1975","Denton, TX, US",https://www.baseball-reference.com/register/player.fcgi?id=chambl001jam,https://www.baseball-reference.com/players/c/chambji01.shtml,0.0,12,10,"SecondBaseman,ThirdBaseman,Outfielder"
857,Virgil Chevalier,26,R,R,"6' 2""",220,"Oct 31, 1973","Keshena, WI, US",https://www.baseball-reference.com/register/player.fcgi?id=cheval001vir,,0.0,np.nan,9,"Outfielder,Catcher,FirstBaseman"
858,Jin Ho Cho,24,R,R,"6' 0""",175,"Aug 16, 1975","Jeonju, North Jeolla, KR",https://www.baseball-reference.com/register/player.fcgi?id=cho---001jin,https://www.baseball-reference.com/players/c/choji01.shtml,330927.53623188403,np.nan,5,StartingPitcher
859,Michael Coleman,24,R,R,"5' 11""",180,"Aug 16, 1975","Nashville, TN, US",https://www.baseball-reference.com/register/player.fcgi?id=colema001mic,https://www.baseball-reference.com/players/c/colemmi01.shtml,-325809.029165002,18,12,"Outfielder,FirstBaseman"
860,Paxton Crawford,22,R,R,"6' 3""",205,"Aug 4, 1977","Little Rock, AR, US",https://www.baseball-reference.com/register/player.fcgi?id=crawfo001pax,https://www.baseball-reference.com/players/c/crawfpa02.shtml,615822.9031949055,9,9,StartingPitcher
861,Rich Croushore,29,R,R,"6' 4""",210,"Aug 7, 1970","Lakehurst, NJ, US",https://www.baseball-reference.com/register/player.fcgi?id=croush001ric,https://www.baseball-reference.com/players/c/crousri01.shtml,-333954.25489412696,np.nan,11,ReliefPitcher
862,Jorge DeLeon,25,R,R,"6' 2""",170,"Sep 26, 1974","Ponce, PR",https://www.baseball-reference.com/register/player.fcgi?id=deleon001jor,,0.0,16,5,"SecondBaseman,ThirdBaseman,Shortstop"
863,Juan Diaz,26,R,R,"6' 2""",269,"Feb 19, 1974","San Jose de las Lajas, Mayabeque, CU",https://www.baseball-reference.com/register/player.fcgi?id=diaz--002jua,https://www.baseball-reference.com/players/d/diazju01.shtml,0.0,np.nan,10,FirstBaseman
864,Angelo Encarnacion,31,R,R,"5' 8""",180,"Apr 18, 1969","Santo Domingo, Distrito Nacional, DO",https://www.baseball-reference.com/register/player.fcgi?id=encarn001ang,https://www.baseball-reference.com/players/e/encaran01.shtml,-789656.5312461291,np.nan,11,Catcher
865,Jared Fernandez,28,R,R,"6' 2""",223,"Feb 2, 1972","Salt Lake City, UT, US",https://www.baseball-reference.com/register/player.fcgi?id=fernan001jar,https://www.baseball-reference.com/players/f/fernaja01.shtml,920597.996964276,np.nan,13,Pitcher
866,Mike Figga,29,R,R,"6' 0""",200,"Jul 31, 1970","Tampa, FL, US",https://www.baseball-reference.com/register/player.fcgi?id=figga-001mic,https://www.baseball-reference.com/players/f/figgami01.shtml,-331755.0439472633,44,12,Catcher
867,Kevin Foster,31,R,R,"6' 1""",160,"Jan 13, 1969","Evanston, IL, US",https://www.baseball-reference.com/register/player.fcgi?id=foster001kev,https://www.baseball-reference.com/players/f/fosteke01.shtml,-3930736.0043002833,29,12,"StartingPitcher,ThirdBaseman,SecondBaseman"
868,Freddy Garcia,27,R,R,"6' 2""",190,"Aug 1, 1972","La Romana, La Romana, DO",https://www.baseball-reference.com/register/player.fcgi?id=garcia002fre,https://www.baseball-reference.com/players/g/garcifr01.shtml,-942164.6320547552,np.nan,7,"ThirdBaseman,Leftfielder,FirstBaseman"
869,Andy Hazlett,24,L,L,"6' 3""",187,"Aug 27, 1975","Arcadia, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=hazlet001and,,0.0,8,6,Pitcher
870,Aaron Holbert,27,R,R,"6' 0""",160,"Jan 9, 1973","Torrance, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=holber001aar,https://www.baseball-reference.com/players/h/holbeaa01.shtml,0.0,1,17,"Shortstop,SecondBaseman,ThirdBaseman"
871,Garey Ingram,29,R,R,"5' 11""",180,"Jul 25, 1970","Columbus, GA, US",https://www.baseball-reference.com/register/player.fcgi?id=ingram001gar,https://www.baseball-reference.com/players/i/ingraga01.shtml,-297529.0215588723,44,12,"Outfielder,SecondBaseman,ThirdBaseman"
872,Gavin Jackson,26,R,R,"5' 10""",170,"Jul 19, 1973","Sylvester, GA, US",https://www.baseball-reference.com/register/player.fcgi?id=jackso001gav,,0.0,36,8,"Shortstop,SecondBaseman"
873,Sun-Woo Kim,22,R,R,"6' 2""",180,"Sep 4, 1977","Incheon, Incheon, KR",https://www.baseball-reference.com/register/player.fcgi?id=kim---001sun,https://www.baseball-reference.com/players/k/kimsu01.shtml,1243027.9313709547,np.nan,9,StartingPitcher
874,Sang-Hoon Lee,29,L,L,"6' 1""",190,"Mar 11, 1971","Seoul, Seoul, KR",https://www.baseball-reference.com/register/player.fcgi?id=lee---001san,https://www.baseball-reference.com/players/l/leesa01.shtml,0.0,np.nan,2,na
875,Ramon Martinez,32,L,R,"6' 4""",165,"Mar 22, 1968","Santo Domingo, Distrito Nacional, DO",https://www.baseball-reference.com/register/player.fcgi?id=martin007ram,https://www.baseball-reference.com/players/m/martira02.shtml,-45110218.74543713,np.nan,9,StartingPitcher
876,Lou Merloni,29,R,R,"5' 10""",188,"Apr 6, 1971","Framingham, MA, US",https://www.baseball-reference.com/register/player.fcgi?id=merlon001lou,https://www.baseball-reference.com/players/m/merlolo01.shtml,-608853.128797505,10,15,"SecondBaseman,ThirdBaseman,Shortstop"
877,Tomo Ohka,24,S,R,"6' 1""",205,"Mar 18, 1976","Kyoto, Kyoto, JP",https://www.baseball-reference.com/register/player.fcgi?id=ohka--001tom,https://www.baseball-reference.com/players/o/ohkato01.shtml,-325809.029165002,np.nan,7,StartingPitcher
878,Dario Perez,30,R,R,"6' 2""",180,"Jun 27, 1970","Nigua, San Cristobal, DO",https://www.baseball-reference.com/register/player.fcgi?id=perez-001rub,,0.0,np.nan,7,Pitcher
879,Hipolito Pichardo,30,R,R,"6' 1""",160,"Aug 22, 1969","Esperanza, Valverde, DO",https://www.baseball-reference.com/register/player.fcgi?id=pichar001hip,https://www.baseball-reference.com/players/p/pichahi01.shtml,-11781957.853889626,np.nan,9,ReliefPitcher
880,Corey Powell,29,R,R,"6' 3""",210,"Sep 3, 1970","San Diego, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=powell001cor,,0.0,64,6,"Outfielder,FirstBaseman,StartingPitcher"
881,Curtis Pride,31,L,R,"6' 0""",205,"Dec 17, 1968","Washington, DC, US",https://www.baseball-reference.com/register/player.fcgi?id=pride-001cur,https://www.baseball-reference.com/players/p/pridecu01.shtml,-1178454.07829475,10,21,Outfielder
882,Luis Rodriguez,26,R,R,"5' 11""",195,"Jan 3, 1974","Caracas, Distrito Federal, VE",https://www.baseball-reference.com/register/player.fcgi?id=rodrig004lui,,0.0,np.nan,11,Catcher
883,Nerio Rodriguez,29,R,R,"6' 1""",220,"Mar 4, 1971","San Pedro de Macoris, San Pedro de Macoris, DO",https://www.baseball-reference.com/register/player.fcgi?id=rodrig001ner,https://www.baseball-reference.com/players/r/rodrine01.shtml,-287206.5128623928,np.nan,16,"StartingPitcher,Catcher"
884,Mel Rojas,33,R,R,"5' 11""",175,"Dec 10, 1966","Bajos de Haina, San Cristobal, DO",https://www.baseball-reference.com/register/player.fcgi?id=rojas-001mel,https://www.baseball-reference.com/players/r/rojasme01.shtml,-31221566.013876382,np.nan,9,ReliefPitcher
885,Brian Rose,24,R,R,"6' 3""",215,"Feb 13, 1976","New Bedford, MA, US",https://www.baseball-reference.com/register/player.fcgi?id=rose--002bri,https://www.baseball-reference.com/players/r/rosebr01.shtml,-283044.09963250306,3,11,StartingPitcher
886,Bret Saberhagen,36,R,R,"6' 1""",160,"Apr 11, 1964","Chicago Heights, IL, US",https://www.baseball-reference.com/register/player.fcgi?id=saberh001bre,https://www.baseball-reference.com/players/s/saberbr01.shtml,-71044361.80581138,19,5,StartingPitcher
887,Donnie Sadler,25,R,R,"5' 6""",165,"Jun 17, 1975","Clifton, TX, US",https://www.baseball-reference.com/register/player.fcgi?id=sadler001don,https://www.baseball-reference.com/players/s/sadledo01.shtml,-608853.128797505,11,12,"Shortstop,Outfielder,SecondBaseman"
888,Julio Santana,27,R,R,"6' 0""",175,"Jan 20, 1973","San Pedro de Macoris, San Pedro de Macoris, DO",https://www.baseball-reference.com/register/player.fcgi?id=santan003jul,https://www.baseball-reference.com/players/s/santaju01.shtml,-1026321.3180453716,np.nan,11,Pitcher
889,Damian Sapp,24,R,R,"6' 3""",240,"May 20, 1976","Murray, UT, US",https://www.baseball-reference.com/register/player.fcgi?id=sapp--001sho,,0.0,10,7,"Catcher,FirstBaseman,Leftfielder"
890,Pete Schourek,31,L,L,"6' 5""",195,"May 10, 1969","Austin, TX, US",https://www.baseball-reference.com/register/player.fcgi?id=schour001pet,https://www.baseball-reference.com/players/s/schoupe01.shtml,-18739065.7698102,2,7,"Pitcher,Rightfielder"
891,Jason Sekany,24,R,R,"6' 4""",214,"Jul 20, 1975","Walnut Creek, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=sekany001jas,,0.0,2,6,StartingPitcher
892,Andy Sheets,28,R,R,"6' 2""",180,"Nov 19, 1971","Baton Rouge, LA, US",https://www.baseball-reference.com/register/player.fcgi?id=sheets001and,https://www.baseball-reference.com/players/s/sheetan01.shtml,-1195753.1906580774,4,9,"Shortstop,FirstBaseman,ThirdBaseman"
893,Joe Siddall,32,L,R,"6' 1""",200,"Oct 25, 1967","Windsor, ON, CA",https://www.baseball-reference.com/register/player.fcgi?id=siddal001jos,https://www.baseball-reference.com/players/s/siddajo01.shtml,-521110.7401871244,np.nan,13,"Catcher,Outfielder"
894,Dan Smith,24,R,R,"6' 3""",210,"Sep 15, 1975","Flemington, NJ, US",https://www.baseball-reference.com/register/player.fcgi?id=smith-006dan,https://www.baseball-reference.com/players/s/smithda07.shtml,-325809.029165002,7,12,Pitcher
895,Tim Spehr,33,R,R,"6' 2""",205,"Jul 2, 1966","Excelsior Springs, MO, US",https://www.baseball-reference.com/register/player.fcgi?id=spehr-001tim,https://www.baseball-reference.com/players/s/spehrti01.shtml,-2436045.86590218,5,10,Catcher
896,Rob Stanifer,28,R,R,"6' 3""",205,"Mar 10, 1972","Easley, SC, US",https://www.baseball-reference.com/register/player.fcgi?id=stanif001rob,https://www.baseball-reference.com/players/s/staniro01.shtml,-308018.5790118416,12,10,ReliefPitcher
